Event date,Event name,User,Number of events
2024-10-11,SaveProjectStandalone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,5
2024-10-12,DeleteProject,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,3
2024-10-09,ChangeMainView,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,41
2024-10-11,CloudRenderJobDone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,30
2024-10-09,CloudRenderClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,2
2024-10-12,LoadProjectStandalone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-10,LoadProjectStandalone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,9
2024-10-08,CloudRenderJobDone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,9
2024-10-11,SaveButtonClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,5
2024-10-11,ApplicationStarted,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-10,CloudRenderJobDone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,36
2024-10-11,OpenProject,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-14,OpenProject,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-12,CloudRenderJobDone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,4
2024-10-14,ApplicationStarted,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-12,SaveButtonClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-12,ProjectsButtonClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,2
2024-10-08,SaveAsButtonClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,2
2024-10-14,ChangeMainView,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,4
2024-10-12,ChangeMainView,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,12
2024-10-09,SaveProjectStandalone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,4
2024-10-12,SaveAsButtonClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-08,SaveButtonClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,8
2024-10-09,ProductSearch,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-11,ProjectsButtonClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,5
2024-10-10,CloudRenderClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,27
2024-10-09,UpdateDialogOpen,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-09,UpdateAvailable,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-12,CloudRender360Clicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,2
2024-10-08,SaveProjectStandalone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,8
2024-10-09,AssortmentInfoDialogOpen,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-09,ResetRoom,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-08,CloudRender360Clicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,5
2024-10-08,ProductSearch,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-09,SaveButtonClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,5
2024-10-10,ChangeViewFunction,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,5
2024-10-10,ChangeMainView,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,392
2024-10-11,LoadProjectStandalone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,4
2024-10-10,SaveAsButtonClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,5
2024-10-08,ChangeViewFunction,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,7
2024-10-10,UpdateDialogOpen,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,2
2024-10-11,ProductSearch,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-10,ProjectsButtonClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,12
2024-10-10,SaveProjectStandalone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,57
2024-10-12,SaveProjectStandalone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-14,LoadProjectStandalone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-09,CloudRenderJobDone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,2
2024-10-11,ChangeMainView,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,80
2024-10-10,ApplicationStarted,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,5
2024-10-08,LoadProjectStandalone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,4
2024-10-10,OpenProject,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,5
2024-10-10,DeleteProposal,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-10,SaveButtonClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,57
2024-10-09,AssortmentDialogOpen,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-08,OpenProject,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,4
2024-10-08,CloudRenderClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,4
2024-10-10,ProductSearch,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,3
2024-10-10,CloudRender360Clicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,9
2024-10-14,ProjectsButtonClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-11,CloudRenderClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,26
2024-10-11,CloudRender360Clicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,4
2024-10-08,ProjectsButtonClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,5
2024-10-08,ChangeMainView,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,147
2024-10-09,ProjectsButtonClicked,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,2
2024-10-09,ChangeViewFunction,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,5
2024-10-10,UpdateAvailable,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,2
2024-10-09,AssortmentUninstall,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,4
2024-10-09,AssortmentInstall,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-09,LoadProjectStandalone,fd4c82ae-a93a-4eb2-90bc-ec6d385b1665,1
2024-10-09,OpenProject,fd1e0219-d429-432a-ae7c-56123d1cfde7,3
2024-10-09,SaveProjectStandalone,fd1e0219-d429-432a-ae7c-56123d1cfde7,3
2024-10-10,CloudRenderClicked,fd1e0219-d429-432a-ae7c-56123d1cfde7,5
2024-10-10,ChangeMainView,fd1e0219-d429-432a-ae7c-56123d1cfde7,44
2024-10-09,CloudRenderClicked,fd1e0219-d429-432a-ae7c-56123d1cfde7,7
2024-10-12,ApplicationStarted,fd1e0219-d429-432a-ae7c-56123d1cfde7,2
2024-10-09,ChangeMainView,fd1e0219-d429-432a-ae7c-56123d1cfde7,114
2024-10-09,UpdateAvailable,fd1e0219-d429-432a-ae7c-56123d1cfde7,2
2024-10-10,SaveAsButtonClicked,fd1e0219-d429-432a-ae7c-56123d1cfde7,5
2024-10-09,ProductFilterExpanded,fd1e0219-d429-432a-ae7c-56123d1cfde7,2
2024-10-10,ProductFilterExpanded,fd1e0219-d429-432a-ae7c-56123d1cfde7,1
2024-10-12,UpdateAvailable,fd1e0219-d429-432a-ae7c-56123d1cfde7,1
2024-10-09,UpdateDialogOpen,fd1e0219-d429-432a-ae7c-56123d1cfde7,2
2024-10-09,ChangeViewFunction,fd1e0219-d429-432a-ae7c-56123d1cfde7,2
2024-10-10,LoadProjectStandalone,fd1e0219-d429-432a-ae7c-56123d1cfde7,2
2024-10-09,AssortmentUninstall,fd1e0219-d429-432a-ae7c-56123d1cfde7,1
2024-10-10,OpenProject,fd1e0219-d429-432a-ae7c-56123d1cfde7,1
2024-10-09,LoadSharedProjectButtonClicked,fd1e0219-d429-432a-ae7c-56123d1cfde7,1
2024-10-09,ApplicationStarted,fd1e0219-d429-432a-ae7c-56123d1cfde7,3
2024-10-12,ChangeMainView,fd1e0219-d429-432a-ae7c-56123d1cfde7,2
2024-10-10,ProjectsButtonClicked,fd1e0219-d429-432a-ae7c-56123d1cfde7,2
2024-10-09,AssortmentDialogOpen,fd1e0219-d429-432a-ae7c-56123d1cfde7,1
2024-10-09,SaveAsButtonClicked,fd1e0219-d429-432a-ae7c-56123d1cfde7,6
2024-10-10,ApplicationStarted,fd1e0219-d429-432a-ae7c-56123d1cfde7,1
2024-10-10,MyProjectButtonClicked,fd1e0219-d429-432a-ae7c-56123d1cfde7,1
2024-10-10,CloudRenderJobDone,fd1e0219-d429-432a-ae7c-56123d1cfde7,5
2024-10-09,AssortmentAdded,fd1e0219-d429-432a-ae7c-56123d1cfde7,1
2024-10-09,CreatePDFSummary,fd1e0219-d429-432a-ae7c-56123d1cfde7,3
2024-10-12,UpdateDialogOpen,fd1e0219-d429-432a-ae7c-56123d1cfde7,1
2024-10-10,DeleteProposal,fd1e0219-d429-432a-ae7c-56123d1cfde7,1
2024-10-09,ProjectsButtonClicked,fd1e0219-d429-432a-ae7c-56123d1cfde7,11
2024-10-09,AssortmentInfoDialogOpen,fd1e0219-d429-432a-ae7c-56123d1cfde7,3
2024-10-09,CloudRenderJobDone,fd1e0219-d429-432a-ae7c-56123d1cfde7,6
2024-10-09,MyProjectButtonClicked,fd1e0219-d429-432a-ae7c-56123d1cfde7,2
2024-10-09,LoadProjectStandalone,fd1e0219-d429-432a-ae7c-56123d1cfde7,10
2024-10-09,ProjectsButtonClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,5
2024-10-10,KeyboardShortcutUsed,fbecf825-09f0-4232-8f53-a2d118babcd5,14
2024-10-09,UpdateAvailable,fbecf825-09f0-4232-8f53-a2d118babcd5,2
2024-10-14,CloudRenderJobDone,fbecf825-09f0-4232-8f53-a2d118babcd5,29
2024-10-11,UpdateDialogOpen,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-10,SaveButtonClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-10,ProjectsButtonClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,3
2024-10-14,OpenProject,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-10,OpenProject,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-11,ApplicationStarted,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-14,LoadProjectStandalone,fbecf825-09f0-4232-8f53-a2d118babcd5,4
2024-10-14,ResetRoom,fbecf825-09f0-4232-8f53-a2d118babcd5,2
2024-10-14,SaveProjectStandalone,fbecf825-09f0-4232-8f53-a2d118babcd5,5
2024-10-11,ChangeMainView,fbecf825-09f0-4232-8f53-a2d118babcd5,45
2024-10-09,ProductSearch,fbecf825-09f0-4232-8f53-a2d118babcd5,2
2024-10-10,ApplicationStarted,fbecf825-09f0-4232-8f53-a2d118babcd5,2
2024-10-09,ProductFilterExpanded,fbecf825-09f0-4232-8f53-a2d118babcd5,2
2024-10-09,LoadProjectStandalone,fbecf825-09f0-4232-8f53-a2d118babcd5,5
2024-10-09,CloudRenderClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,20
2024-10-11,SaveProjectStandalone,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-10,LoadProjectStandalone,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-10,SaveProjectStandalone,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-09,SaveAsButtonClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,2
2024-10-09,ChangeMainView,fbecf825-09f0-4232-8f53-a2d118babcd5,370
2024-10-11,CloudRenderJobDone,fbecf825-09f0-4232-8f53-a2d118babcd5,6
2024-10-09,OpenProject,fbecf825-09f0-4232-8f53-a2d118babcd5,2
2024-10-14,ProjectsButtonClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,5
2024-10-09,ApplicationStarted,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-09,SaveButtonClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,4
2024-10-14,SaveButtonClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,5
2024-10-11,KeyboardShortcutUsed,fbecf825-09f0-4232-8f53-a2d118babcd5,3
2024-10-14,UpdateDialogOpen,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-14,AssortmentInstall,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-14,SaveAsButtonClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-10,ChangeMainView,fbecf825-09f0-4232-8f53-a2d118babcd5,119
2024-10-10,ProductSearch,fbecf825-09f0-4232-8f53-a2d118babcd5,2
2024-10-14,ClickOnPreferenceButton,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-14,ApplicationStarted,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-09,CloudRenderJobDone,fbecf825-09f0-4232-8f53-a2d118babcd5,20
2024-10-11,ProjectsButtonClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-11,SaveButtonClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-14,CloudRenderClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,29
2024-10-11,LoadProjectStandalone,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-14,KeyboardShortcutUsed,fbecf825-09f0-4232-8f53-a2d118babcd5,24
2024-10-10,CloudRenderClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,3
2024-10-14,ChangeViewFunction,fbecf825-09f0-4232-8f53-a2d118babcd5,3
2024-10-11,CloudRenderClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,12
2024-10-14,ProductSearch,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-09,KeyboardShortcutUsed,fbecf825-09f0-4232-8f53-a2d118babcd5,36
2024-10-09,ChangeViewFunction,fbecf825-09f0-4232-8f53-a2d118babcd5,2
2024-10-09,SaveProjectStandalone,fbecf825-09f0-4232-8f53-a2d118babcd5,3
2024-10-14,UpdateAvailable,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-10,CloudRenderJobDone,fbecf825-09f0-4232-8f53-a2d118babcd5,3
2024-10-09,AssortmentDialogOpen,fbecf825-09f0-4232-8f53-a2d118babcd5,2
2024-10-14,ProductFilterExpanded,fbecf825-09f0-4232-8f53-a2d118babcd5,2
2024-10-11,OpenProject,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-09,ResetRoom,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-10,ChangeViewFunction,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-10,UpdateAvailable,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-14,ChangeMainView,fbecf825-09f0-4232-8f53-a2d118babcd5,350
2024-10-10,SaveAsButtonClicked,fbecf825-09f0-4232-8f53-a2d118babcd5,1
2024-10-10,AssortmentAdded,fb958dcb-ad4f-4082-b1bd-e12315209507,4
2024-10-10,ChangeViewFunction,fb958dcb-ad4f-4082-b1bd-e12315209507,1
2024-10-10,NewQuotation,fb958dcb-ad4f-4082-b1bd-e12315209507,1
2024-10-10,AssortmentDialogOpen,fb958dcb-ad4f-4082-b1bd-e12315209507,1
2024-10-10,UpdateAvailable,fb958dcb-ad4f-4082-b1bd-e12315209507,1
2024-10-10,AssortmentDownloadCancel,fb958dcb-ad4f-4082-b1bd-e12315209507,1
2024-10-14,ChangeMainView,fb958dcb-ad4f-4082-b1bd-e12315209507,3
2024-10-10,ProductSearch,fb958dcb-ad4f-4082-b1bd-e12315209507,1
2024-10-10,ChangeMainView,fb958dcb-ad4f-4082-b1bd-e12315209507,81
2024-10-10,SaveNewCustomer,fb958dcb-ad4f-4082-b1bd-e12315209507,1
2024-10-10,ApplicationStarted,fb958dcb-ad4f-4082-b1bd-e12315209507,1
2024-10-14,CreatePDFSummary,fb958dcb-ad4f-4082-b1bd-e12315209507,1
2024-10-10,QuotationsButtonClicked,fb958dcb-ad4f-4082-b1bd-e12315209507,2
2024-10-10,CreatePDFSummary,fb958dcb-ad4f-4082-b1bd-e12315209507,5
2024-10-11,UpdateAvailable,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,1
2024-10-11,CloudRenderJobDone,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,14
2024-10-11,ChangeViewFunction,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,2
2024-10-10,ProjectsButtonClicked,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,2
2024-10-10,UpdateAvailable,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,1
2024-10-10,SummaryCameraControls,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,1
2024-10-10,SaveAsButtonClicked,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,4
2024-10-10,CloudRenderJobDone,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,4
2024-10-11,LoadProjectStandalone,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,2
2024-10-12,SaveAsButtonClicked,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,2
2024-10-11,ChangeMainView,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,92
2024-10-11,ApplicationStarted,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,1
2024-10-10,ChangeMainView,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,138
2024-10-11,ProductSearch,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,1
2024-10-11,CloudRenderClicked,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,14
2024-10-12,ResetRoom,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,1
2024-10-10,SaveProjectStandalone,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,1
2024-10-10,OpenProject,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,1
2024-10-10,ApplicationStarted,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,1
2024-10-12,CloudRenderJobDone,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,18
2024-10-10,ProductSearch,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,1
2024-10-11,ProjectsButtonClicked,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,2
2024-10-10,CloudRenderClicked,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,4
2024-10-12,ChangeMainView,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,46
2024-10-10,MyProjectButtonClicked,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,1
2024-10-10,LoadProjectStandalone,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,3
2024-10-10,ChangeViewFunction,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,1
2024-10-10,ResetRoom,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,1
2024-10-11,SaveAsButtonClicked,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,6
2024-10-12,CloudRenderClicked,fb90fff6-1c8c-4790-9fa9-19f14edb97c9,18
2024-10-11,ApplicationStarted,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-10,LoadProjectStandalone,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-10,UpdateAvailable,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-14,ChangeMainView,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,23
2024-10-14,ApplicationStarted,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-14,SaveButtonClicked,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,4
2024-10-14,ProjectsButtonClicked,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-10,CloudRender360Clicked,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-10,OpenProject,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-14,SaveProjectStandalone,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,4
2024-10-11,LoadProjectStandalone,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-14,ChangeViewFunction,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-10,KeyboardShortcutUsed,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-10,SaveProjectStandalone,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,3
2024-10-14,UpdateAvailable,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-14,CloudRenderJobDone,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,3
2024-10-14,LoadProjectStandalone,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-11,SaveButtonClicked,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-10,ChangeMainView,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,45
2024-10-10,ProductFilterExpanded,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-10,ApplicationStarted,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,2
2024-10-10,SaveButtonClicked,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,3
2024-10-10,UpdateDialogOpen,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-14,OpenProject,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-11,OpenProject,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-10,ProjectsButtonClicked,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-11,KeyboardShortcutUsed,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,2
2024-10-14,CloudRenderClicked,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,2
2024-10-10,CloudRenderClicked,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-11,SaveProjectStandalone,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-10,ChangeViewFunction,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,2
2024-10-10,EditProject,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-10,CloudRenderJobDone,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,2
2024-10-10,ProductSearch,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,2
2024-10-14,CloudRender360Clicked,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-11,ChangeMainView,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,6
2024-10-11,ProjectsButtonClicked,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-10,SaveAsButtonClicked,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,2
2024-10-10,ResetRoom,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-11,UpdateAvailable,fb71c8c0-bd3c-4895-9f5f-efdef4703cfa,1
2024-10-10,AssortmentDialogOpen,fae6ccd2-3b72-423a-9d36-9ceb87a46453,1
2024-10-10,ChangeMainView,fae6ccd2-3b72-423a-9d36-9ceb87a46453,6
2024-10-10,CreatePDFSummary,fae6ccd2-3b72-423a-9d36-9ceb87a46453,1
2024-10-10,CloudRender360Clicked,fae6ccd2-3b72-423a-9d36-9ceb87a46453,2
2024-10-10,UpdateAvailable,fae6ccd2-3b72-423a-9d36-9ceb87a46453,1
2024-10-10,AssortmentDownloadCancel,fae6ccd2-3b72-423a-9d36-9ceb87a46453,3
2024-10-10,CustomPropertyEdited,fae6ccd2-3b72-423a-9d36-9ceb87a46453,7
